id_cliente;edad;importe_solicitado;duracion_credito;antiguedad_empleado;situacion_vivienda;ingresos;objetivo_credito;pct_ingreso;tasa_interes;estado_credito;antiguedad_cliente;estado_civil;estado_cliente;gastos_ult_12m;genero;limite_credito_tc;nivel_educativo;nivel_tarjeta;operaciones_ult_12m;personas_a_cargo
708510993;22;4000;4;3.0;HIPOTECA;62000;PERSONAL;0.06;6.76;0;47;SOLTERO;ACTIVO;15478.0;F;4905.0;UNIVERSITARIO_INCOMPLETO;Blue;109.0;1.0
708512051;25;10000;2;3.0;ALQUILER;120000;INVERSIONES;0.08;9.32;0;18;CASADO;ACTIVO;3950.0;M;1663.0;UNIVERSITARIO_COMPLETO;Blue;82.0;3.0
708513258;23;1700;2;2.0;HIPOTECA;45000;SALUD;0.04;14.72;0;29;CASADO;ACTIVO;3078.0;M;4323.0;UNIVERSITARIO_INCOMPLETO;Blue;58.0;1.0
708514512;25;7200;4;0.0;ALQUILER;71604;PAGO_DEUDAS;0.1;10.95;0;29;CASADO;ACTIVO;4314.0;F;3809.0;UNIVERSITARIO_INCOMPLETO;Blue;81.0;2.0
708515472;26;5000;3;5.0;HIPOTECA;52000;PAGO_DEUDAS;0.1;10.59;0;36;CASADO;ACTIVO;4216.0;F;4712.0;SECUNDARIO_COMPLETO;Blue;82.0;1.0
708516646;26;6000;2;3.0;HIPOTECA;53000;MEJORAS_HOGAR;0.11;9.99;0;36;CASADO;ACTIVO;4159.0;F;2588.0;SECUNDARIO_COMPLETO;Blue;83.0;2.0
708519228;24;6625;4;3.0;HIPOTECA;57100;PAGO_DEUDAS;0.12;11.22;0;24;CASADO;PASIVO;2041.0;F;2694.0;UNIVERSITARIO_COMPLETO;Blue;57.0;1.0
708522138;23;8400;3;0.0;HIPOTECA;60000;EDUCACIÓN;0.14;7.49;0;36;CASADO;ACTIVO;15060.0;M;12299.0;UNIVERSITARIO_INCOMPLETO;Blue;90.0;2.0
708525227;24;6000;3;6.0;ALQUILER;30000;MEJORAS_HOGAR;0.2;7.51;0;47;CASADO;ACTIVO;4120.0;F;2156.0;UNIVERSITARIO_COMPLETO;Blue;77.0;2.0
708528598;23;4475;4;7.0;ALQUILER;15000;INVERSIONES;0.3;;1;23;DIVORCIADO;ACTIVO;1387.0;F;3187.0;UNIVERSITARIO_COMPLETO;Blue;33.0;4.0
708532448;26;6000;4;1.0;ALQUILER;29004;PERSONAL;0.25;7.42;0;36;SOLTERO;ACTIVO;3000.0;M;11419.0;UNIVERSITARIO_INCOMPLETO;Blue;70.0;2.0
708534144;25;1500;3;1.0;ALQUILER;32000;PAGO_DEUDAS;0.15;12.68;0;36;SOLTERO;ACTIVO;4726.0;F;6274.0;UNIVERSITARIO_COMPLETO;Blue;82.0;3.0
708535259;24;5500;3;2.0;ALQUILER;38400;PAGO_DEUDAS;0.22;11.48;0;29;DESCONOCIDO;ACTIVO;8505.0;M;9959.0;POSGRADO_INCOMPLETO;Blue;86.0;2.0
708536398;22;17000;4;1.0;HIPOTECA;60000;EDUCACIÓN;0.2;14.74;1;27;SOLTERO;PASIVO;2653.0;M;2904.0;POSGRADO_COMPLETO;Blue;46.0;1.0
708538722;26;20500;3;7.0;ALQUILER;50000;INVERSIONES;0.15;7.74;0;36;CASADO;ACTIVO;4058.0;F;3862.0;UNIVERSITARIO_INCOMPLETO;Blue;81.0;4.0
708539677;23;4000;3;7.0;HIPOTECA;62500;INVERSIONES;0.04;11.71;0;25;CASADO;ACTIVO;3979.0;F;19897.0;DESCONOCIDO;Blue;63.0;3.0
708542376;23;6000;2;1.0;ALQUILER;60000;PAGO_DEUDAS;0.15;7.49;0;47;CASADO;ACTIVO;4399.0;F;2495.0;POSGRADO_COMPLETO;Blue;70.0;1.0
708543342;24;25000;2;2.0;ALQUILER;60000;PAGO_DEUDAS;0.36;14.74;1;36;CASADO;ACTIVO;2045.0;M;2607.0;SECUNDARIO_COMPLETO;Blue;39.0;3.0
